203893	Verenigd Koninkrijk	2635167	0
203893	Europese Unie	6695072		0
119915	Echt	2756444	1
119915	Echt	2756444	0
204412	Den Haag	2747373	0
204412	Rijnmond	7279858	0

204412	Schiedam	2747596	0
204412	Den Haag	2747373	0
184695	Paradise	5509952	1
184695	Californie	5332921	1
184695	Californie	5332921	0
184695	Paradise	5509952	0
184895	Thousand Oaks	5402405	0
184695	Los Angeles	5368361	0
184895	Thousand Oaks	5402405	0

151227	Indonesie	1643084	1
151227	Indonesie	1643084	0

232554	Panama	3703430	1
232554	Colombia	3686110	1
232554	Panama	3703430	0
232554	Nederland	2750405	0
232554	Panama	3703430	0
232554	Panama	3703430	0
232554	Centraal-Amerika	7729892	0
232554	Colombia	3686110	0
232554	Rotterdam	2747891	0
232554	Cartagena	3687238	0
232554	Colombia	3686110	0


140113	Amsterdam	2759794	0
140113	Den Helder	2757220	0

178143	Amsterdam	2759794	0
178143	Syrie	8378529	0
178143	Israël	294640	0
178143	Israël	294640	0
8755	Wijk bij Duurstede	2744483	1
8755	Best	2759040	0
8755	Wijk bij Duurstede	2744483	0
8755	Wijk bij Duurstede	2744483	0
8755	Wijk bij Duurstede	2744483	0
189195	Nederland	2750405	0
189195	Nederland	2750405	0

118113	Duitsland	2921044	0
118113	Auschwitz	11862441	0
118113	Berlijn	2950159	0
118113	Auschwitz	11862441	0
118113	Buchenwald	2942510	0
118113	Auschwitz	11862441	0
118113	Duitsland	2921044	0

67460	VS	6252001	1
128351	Haaksbergen	2755030	1
128351	Haaksbergen	2755030	0
172149	Verenigde Staten	6252001	0
172149	Kansas	4273857	0
4066	Nederland	2750405	0

54/20 = 2.70